Order Date,Sales,Anomaly,RollingMean,RollingStd,Zscore
2015-01-04,304.508,-1,,,
2015-01-11,4619.108,1,,,
2015-01-18,4130.533,1,,,
2015-01-25,3092.5440000000003,1,3036.6732500000003,1929.4625663372994,0.028956638483046363
2015-02-01,2527.9139999999998,1,3592.52475,953.3629678904658,-1.1166898504099605
2015-02-08,968.534,-1,2679.88125,1319.9096560207893,-1.2965639293520292
2015-02-15,2771.054,1,2340.0115,943.1084566253951,0.4570444650049524
2015-02-22,224.912,-1,1623.1035000000002,1227.446277488755,-1.1391060656932168
2015-03-01,2289.643,1,1563.53575,1173.4951624886453,0.6187560658197649
2015-03-08,4030.728,1,2329.08425,1583.2482624550446,1.074780115255814
2015-03-15,4139.602,1,2671.22125,1837.9727544022292,0.7989132300699239
2015-03-22,37703.665,-1,12040.9095,17129.486138228636,1.4981626006122442
2015-03-29,3998.777,1,12468.193,16823.756002701914,-0.5034200447652595
2015-04-05,10363.902,1,14051.486499999999,16045.001816487205,-0.2298276149904068
2015-04-12,8418.293,1,15121.15925,15288.741667993967,-0.4384184385842581
2015-04-19,2198.37,1,6244.8355,3790.746987241479,-1.0674586073982761
2015-04-26,5660.104,1,6660.16725,3545.721292641729,-0.2820479015300455
2015-05-03,4974.812,1,5312.8947499999995,2554.6439359591654,-0.13234045858256296
2015-05-10,6332.464,1,4791.4375,1815.3943032420502,0.8488659996607535
2015-05-17,3967.87,1,5233.8125,1009.6948769687913,-1.2537871874724082
2015-05-24,6241.984,1,5379.2825,1126.7194978596149,0.7656754867904927
2015-05-31,6523.233,1,5766.38775,1204.7288689909744,0.6282286989884281
2015-06-07,8569.948,1,6325.75875,1883.440029603882,1.191537407470303
2015-06-14,8683.282000000001,1,7504.61175,1301.4783862747279,0.9056395115202448
2015-06-21,11139.4446,1,8728.976900000001,1888.8302288322764,1.2761695906837602
2015-06-28,5143.956999999999,1,8384.1579,2464.041386287751,-1.3149945118744892
2015-07-05,3158.4,1,7031.2709,3566.852701803791,-1.0857950198059632
2015-07-12,6290.629,1,6433.10765,3393.8929095266185,-0.041980891500749504
2015-07-19,1387.686,-1,3995.1679999999997,2167.0256447636643,-1.2032538730220572
2015-07-26,21590.079999999998,1,8106.69875,9214.670768646245,1.4632515462059077
2015-08-02,3255.66,1,8131.013749999999,9197.37324242599,-0.5300811026686166
2015-08-09,13454.076000000001,1,9921.8755,9414.426095809398,0.3751902095840206
2015-08-16,3187.942,1,10371.9395,8899.391284136591,-0.8072459419562407
2015-08-23,4366.4980000000005,1,6066.044,4954.9033892027965,-0.34300285323493307
2015-08-30,4901.8925,1,6477.602125,4705.765007430859,-0.33484664502196815
2015-09-06,4234.85,1,4172.795625000001,717.1448648048226,0.08652976273753052
2015-09-13,29959.137,-1,10865.594375,12732.296659606787,1.4996149662122047
2015-09-20,20685.832000000002,1,14945.427875000001,12569.179003336443,0.45670477948291066
2015-09-27,17249.3338,1,18032.2882,10650.091321547094,-0.073516214684088
2015-10-04,11781.179,1,19918.87045,7632.029666157475,-1.0662552172831254
2015-10-11,4751.272,1,13616.904199999999,6955.420101286975,-1.2746364807439272
2015-10-18,10468.226,1,11062.5027,5130.892463918735,-0.11582326158247289
2015-10-25,3882.9900000000002,1,7720.916749999999,3982.541455464454,-0.9636878342431242
2015-11-01,14794.436,1,8474.231,5127.082501703154,1.2327098301812982
2015-11-08,14934.875,1,11020.131749999999,5190.182386052366,0.7542592839357888
2015-11-15,15130.8292,1,12185.782549999998,5536.91388229507,0.5318931651469483
2015-11-22,26793.6235,1,17913.440925,5921.7288373465835,1.4995929092523337
2015-11-29,16191.363,1,18262.672674999998,5714.02154546026,-0.3624959511476879
2015-12-06,13185.832,1,17825.411925,6106.974501491142,-0.7597182408191081
2015-12-13,8971.0645,1,16285.47075,7605.665205544333,-0.9617049991456352
2015-12-20,23416.453,1,15441.178125,6085.9604320777535,1.3104381738934892
2015-12-27,10632.52,1,14051.467375,6479.505507990446,-0.5276556013084326
2016-01-03,15880.6606,1,14725.174525,6499.565955772882,0.17777895983557207
2016-01-10,1973.444,1,12975.769400000001,9018.28233603332,-1.2200023230631478
2016-01-17,1720.158,1,7551.695649999999,6927.887091265672,-0.8417483676014444
2016-01-24,358.522,-1,4983.196149999999,7299.506111271663,-0.6335598709697257
2016-01-31,10314.516,1,3591.659999999999,4537.661544688704,1.4815684100258752
2016-02-07,3249.49,1,3910.671499999999,4429.541015355692,-0.1492663681649884
2016-02-14,2071.846,1,3998.5934999999986,4374.7194018049895,-0.4404276761625057
2016-02-21,4776.534,1,5103.096499999999,3646.4536617549843,-0.08955619083414579
2016-02-28,1853.5410000000002,1,2987.852749999999,1340.841300194618,-0.8459701754677141
2016-03-06,6066.2554,1,3692.044099999999,2067.053714203136,1.1485968089200218
2016-03-13,5375.648,1,4517.994599999999,1852.8209544056085,0.4628905982311385
2016-03-20,13310.136,1,6651.3951,4807.222117810316,1.3851535745207149
2016-03-27,5012.915,1,7441.238599999999,3936.917386532018,-0.6168083710131086
2016-04-03,2873.5840000000003,1,6643.07075,4579.758276105073,-0.8230754818801963
2016-04-10,6433.63,1,6907.56625,4512.214206097369,-0.10503407603290824
2016-04-17,11463.31,1,6445.85975,3651.001746945657,1.3742667349303466
